inertia_k-means++, n_iter_k-means++, inertia_caseiro, n_iter_caseiro,inertia_k-means, n_iter_k-means
3065.805, 16, 3059.501, 36, 3079.361, 51
3062.902, 46, 3066.475, 39, 3078.875, 24
3064.769, 25, 3066.711, 22, 3066.467, 32
3060.632, 30, 3055.459, 25, 3058.262, 27
3052.542, 18, 3053.253, 18, 3070.580, 72
3050.990, 30, 3049.788, 54, 3055.918, 15
3060.674, 14, 3078.052, 13, 3066.580, 21
3055.810, 25, 3057.610, 18, 3076.027, 36
3058.374, 16, 3063.768, 63, 3082.893, 17
3055.070, 23, 3063.015, 82, 3062.149, 26
