inertia_k-means++; n_iter_k-means++; inertia_caseiro; n_iter_caseiro;inertia_k-means; n_iter_k-means
1830.4310797084086; 19; 1830.4057856633963; 27; 1829.7049806201853; 26
1824.3194690158691; 30; 1825.4071889042223; 22; 1837.5578800824185; 23
1830.1198841021735; 37; 1831.3009768900704; 18; 1829.0587750000866; 18
1833.0592872002223; 17; 1841.9385640586556; 15; 1835.446688238891; 29
1833.2912606091998; 14; 1826.5052497446352; 33; 1847.4288048091807; 14
1832.1440156866995; 11; 1836.3159909220399; 14; 1843.2211893484287; 29
1823.557743358685; 18; 1826.2332437301718; 18; 1837.6563162609693; 9
1825.2432640949119; 28; 1834.7545726266417; 18; 1832.7369329495202; 12
1822.3449617490298; 24; 1839.760925767075; 19; 1851.9924842739913; 15
1825.165470709635; 22; 1831.5766220482972; 45; 1833.1274602883616; 13
1824.8832185758074; 13; 1829.985015795711; 39; 1841.076347239937; 19
1821.4749135244665; 14; 1842.1985944781898; 15; 1837.6287793983054; 16
