inertia_k-means++; inertia_caseiro; inertia_k-means
1821.6911129728305; 1835.323550221952; 1827.950570496566
1834.25883349116; 1837.4977627667854; 1830.026327475439
1819.4456985800407; 1835.8382596155382; 1826.912639903822
1827.2386530218635; 1830.161679303249; 1839.414069442632
1825.6787040524177; 1831.5380391882236; 1832.710109899657
1824.7402659285776; 1835.8524127064425; 1844.4895135792933
1829.1919238054159; 1829.6940891531144; 1832.5566078325855
1829.402823127217; 1822.6358659003058; 1833.669432911932
1827.6216545900106; 1839.6356294505342; 1837.9506762500807
1832.8118135155014; 1834.3338505898398; 1839.6641165813674
1825.2395385443763; 1847.1409715808352; 1828.4696786095678
1820.6675602017276; 1835.240264894939; 1827.4049468923777
1833.1189749602092; 1839.9849268020644; 1838.497440341202
1826.5940811024632; 1831.8823674916791; 1831.1484710115967
1827.470979451041; 1843.8412103995934; 1829.5352011020727
